x,z,yaw,pitch,roll
-0.07,0,-147.82,0,-0.85
-0.06,0,-147.64,0,-1.01
0,0,-147.24,0,-0.61
0.09,0,-146.96,0,-0.58
0.25,0,-146.8,0,-0.66
0.3,0,-146.61,0,-0.75
0.21,0,-146.45,0,-0.67
0.17,0,-146.34,0,-0.5
0.16,0,-146.33,0,-0.54
0.14,0,-146.31,0,-0.43
0.13,0,-146.34,0,-0.43
0.12,0,-146.38,0,-0.44
0.11,0,-146.47,0,-0.41
0.1,0,-146.56,0,-0.43
0.09,0,-146.65,0,-0.38
0.08,0,-146.74,0,-0.37
0.07,0,-146.86,0,-0.34
0.07,0,-146.99,0,-0.34
0.06,0,-147.1,0,-0.29
0.38,0,-147.26,0,-0.36
-0.38,0,-147.49,0,-0.07
0.13,0,-148,0,-1.89
0.56,0,-148.16,0,-0.11
0.57,0,-148.45,0,-0.02
0.5,0,-148.57,0,0.13
0.39,0,-148.54,0,0.58
0.22,0,-148.35,0,0.81
-1.35,0,-147.61,0,0.78
2.2,-1.01,-147.88,0,2.66
